column names	fixed	20220209	20220322	flag	description
AN_LMM_DCM_EAS	TRUE	TRUE	TRUE		"Allele number in LMM DCM individuals, identified as EAS descent"
AN_LMM_DCM_EUR	TRUE	TRUE	TRUE		"Allele number in LMM DCM individuals, identified as EUR descent"
AN_LMM_DCM_OTH	TRUE	TRUE	TRUE		"Allele number in LMM DCM individuals, identified as OTH descent"
AN_LMM_DCM_UNKpop	TRUE	TRUE	TRUE		"Allele number in LMM DCM individuals, identified as UNK descent"
CHROM	FALSE	TRUE	FALSE		
POS	FALSE	TRUE	FALSE		
REF	FALSE	TRUE	FALSE		
ALT	FALSE	TRUE	FALSE		
AC_ALL	FALSE	TRUE	TRUE	removed	
AC_ALL_DCM	FALSE	TRUE	TRUE	removed	
AC_ALL_HCM	FALSE	TRUE	TRUE	removed	
AC_EXT	FALSE	TRUE	TRUE	removed	
AC_INT	FALSE	TRUE	TRUE	removed	
AC_INT_0-10	FALSE	TRUE	TRUE	removed	
AC_INT_11-20	FALSE	TRUE	TRUE	removed	
AC_INT_21-30	FALSE	TRUE	TRUE	removed	
AC_INT_31-40	FALSE	TRUE	TRUE	removed	
AC_INT_41-50	FALSE	TRUE	TRUE	removed	
AC_INT_51-60	FALSE	TRUE	TRUE	removed	
AC_INT_61-70	FALSE	TRUE	TRUE	removed	
AC_INT_71-80	FALSE	TRUE	TRUE	removed	
AC_INT_81-90	FALSE	TRUE	TRUE	removed	
AC_INT_AFR	FALSE	TRUE	TRUE	removed	
AC_INT_EAS	FALSE	TRUE	TRUE	removed	
AC_INT_EUR	FALSE	TRUE	TRUE	removed	
AC_INT_F	FALSE	TRUE	TRUE	removed	
AC_INT_HVOL	FALSE	TRUE	TRUE	removed	
AC_INT_M	FALSE	TRUE	TRUE	removed	
AC_INT_OTH	FALSE	TRUE	TRUE	removed	
AC_INT_SAS	FALSE	TRUE	TRUE	removed	
AC_INT_UNKage	FALSE	TRUE	TRUE	removed	
AN_ALL	FALSE	TRUE	TRUE	removed	
AN_ALL_DCM	FALSE	TRUE	TRUE	removed	
AN_ALL_HCM	FALSE	TRUE	TRUE	removed	
AN_EXT	FALSE	TRUE	TRUE	removed	
AN_INT	FALSE	TRUE	TRUE	removed	
AN_INT_0-10	FALSE	TRUE	TRUE	removed	
AN_INT_11-20	FALSE	TRUE	TRUE	removed	
AN_INT_21-30	FALSE	TRUE	TRUE	removed	
AN_INT_31-40	FALSE	TRUE	TRUE	removed	
AN_INT_41-50	FALSE	TRUE	TRUE	removed	
AN_INT_51-60	FALSE	TRUE	TRUE	removed	
AN_INT_61-70	FALSE	TRUE	TRUE	removed	
AN_INT_71-80	FALSE	TRUE	TRUE	removed	
AN_INT_81-90	FALSE	TRUE	TRUE	removed	
AN_INT_AFR	FALSE	TRUE	TRUE	removed	
AN_INT_EAS	FALSE	TRUE	TRUE	removed	
AN_INT_EUR	FALSE	TRUE	TRUE	removed	
AN_INT_F	FALSE	TRUE	TRUE	removed	
AN_INT_HVOL	FALSE	TRUE	TRUE	removed	
AN_INT_M	FALSE	TRUE	TRUE	removed	
AN_INT_OTH	FALSE	TRUE	TRUE	removed	
AN_INT_SAS	FALSE	TRUE	TRUE	removed	
AN_INT_UNKage	FALSE	TRUE	TRUE	removed	
AC_EGY_DCM_81-90	FALSE	FALSE	TRUE	no data	
AC_EGY_HCM_81-90	FALSE	FALSE	TRUE	no data	
AC_EGY_HVOL_0-10	FALSE	FALSE	TRUE	no data	
AC_GDX_HCM_UNKsex	FALSE	FALSE	TRUE	no data	
AC_GDX_HCM_UNKage	FALSE	FALSE	TRUE	new	
AC_RBH_HVOL_0-10	FALSE	FALSE	TRUE	no data	
AC_RBH_HVOL_81-90	FALSE	FALSE	TRUE	no data	
AN_EGY_DCM_81-90	FALSE	FALSE	TRUE	no data	
AN_EGY_HCM_81-90	FALSE	FALSE	TRUE	no data	
AN_EGY_HVOL_0-10	FALSE	FALSE	TRUE	no data	
AN_GDX_HCM_UNKage	FALSE	FALSE	TRUE	new	
AN_RBH_HVOL_0-10	FALSE	FALSE	TRUE	no data	
AN_RBH_HVOL_81-90	FALSE	FALSE	TRUE	no data	
